company_id,company_name,ald_sector,ald_business_unit,roll_up_type,scenario_geography,baseline_scenario,shock_scenario,lgd,risk_free_rate,discount_rate,div_netprofit_prop_coef,carbon_price_model,market_passthrough,financial_stimulus,start_year,growth_rate,shock_year,net_present_value_baseline,net_present_value_shock,net_present_value_difference,net_present_value_roc,term,pd_baseline,pd_shock,pd_difference,run_id
1,company-1,Power,NuclearCap,equity_ownership,Global,NGFS2023REMIND_NDC,NGFS2023REMIND_NZ2050,0.45,0.02,0.07,1,no_carbon_tax,0,1,2022,0.03,2033,233301460576778600,235433147436757920,2131686859979328,0.009137048926780356,1,0.02235217559636893,0.016743023969483906,-0.005609151626885023,27187540-f356-48b9-bf48-5b2347576a5d
1,company-1,Power,NuclearCap,equity_ownership,Global,NGFS2023REMIND_NDC,NGFS2023REMIND_NZ2050,0.45,0.02,0.07,1,no_carbon_tax,0,1,2022,0.03,2033,233301460576778600,235433147436757920,2131686859979328,0.009137048926780356,2,0.10173208838442149,0.08759180887938245,-0.014140279505039044,27187540-f356-48b9-bf48-5b2347576a5d
1,company-1,Power,NuclearCap,equity_ownership,Global,NGFS2023REMIND_NDC,NGFS2023REMIND_NZ2050,0.45,0.02,0.07,1,no_carbon_tax,0,1,2022,0.03,2033,233301460576778600,235433147436757920,2131686859979328,0.009137048926780356,3,0.17937198164819834,0.16198331215971595,-0.01738866948848239,27187540-f356-48b9-bf48-5b2347576a5d
1,company-1,Power,NuclearCap,equity_ownership,Global,NGFS2023REMIND_NDC,NGFS2023REMIND_NZ2050,0.45,0.02,0.07,1,no_carbon_tax,0,1,2022,0.03,2033,233301460576778600,235433147436757920,2131686859979328,0.009137048926780356,4,0.24498699950215208,0.2267054477423982,-0.018281551759753878,27187540-f356-48b9-bf48-5b2347576a5d
1,company-1,Power,NuclearCap,equity_ownership,Global,NGFS2023REMIND_NDC,NGFS2023REMIND_NZ2050,0.45,0.02,0.07,1,no_carbon_tax,0,1,2022,0.03,2033,233301460576778600,235433147436757920,2131686859979328,0.009137048926780356,5,0.30012491808337416,0.28191509425158046,-0.018209823831793703,27187540-f356-48b9-bf48-5b2347576a5d
1,company-1,Power,OilCap,equity_ownership,Global,NGFS2023REMIND_NDC,NGFS2023REMIND_NZ2050,0.45,0.02,0.07,1,no_carbon_tax,0,1,2022,0.03,2033,26403919239008896,1040195820534450.1,-25363723418474444,-0.9606044916620683,1,0.02235217559636893,0.016743023969483906,-0.005609151626885023,27187540-f356-48b9-bf48-5b2347576a5d
1,company-1,Power,OilCap,equity_ownership,Global,NGFS2023REMIND_NDC,NGFS2023REMIND_NZ2050,0.45,0.02,0.07,1,no_carbon_tax,0,1,2022,0.03,2033,26403919239008896,1040195820534450.1,-25363723418474444,-0.9606044916620683,2,0.10173208838442149,0.08759180887938245,-0.014140279505039044,27187540-f356-48b9-bf48-5b2347576a5d
1,company-1,Power,OilCap,equity_ownership,Global,NGFS2023REMIND_NDC,NGFS2023REMIND_NZ2050,0.45,0.02,0.07,1,no_carbon_tax,0,1,2022,0.03,2033,26403919239008896,1040195820534450.1,-25363723418474444,-0.9606044916620683,3,0.17937198164819834,0.16198331215971595,-0.01738866948848239,27187540-f356-48b9-bf48-5b2347576a5d
1,company-1,Power,OilCap,equity_ownership,Global,NGFS2023REMIND_NDC,NGFS2023REMIND_NZ2050,0.45,0.02,0.07,1,no_carbon_tax,0,1,2022,0.03,2033,26403919239008896,1040195820534450.1,-25363723418474444,-0.9606044916620683,4,0.24498699950215208,0.2267054477423982,-0.018281551759753878,27187540-f356-48b9-bf48-5b2347576a5d
1,company-1,Power,OilCap,equity_ownership,Global,NGFS2023REMIND_NDC,NGFS2023REMIND_NZ2050,0.45,0.02,0.07,1,no_carbon_tax,0,1,2022,0.03,2033,26403919239008896,1040195820534450.1,-25363723418474444,-0.9606044916620683,5,0.30012491808337416,0.28191509425158046,-0.018209823831793703,27187540-f356-48b9-bf48-5b2347576a5d
